Kombi1, 2000.000000, 35000.000000
Lkw1, 1995.000000, 145600.000000
Bus1, 2015.000000, 50000.000000
Kleinwagen1, 2007.000000, 32000.000000
Kleinbus1, 1980.000000, 120800.000000
Mittelklassewagen1, 2016.000000, 50.000000
Bus2, 1985.000000, 1250600.000000
Kleinwagen2, 2003.000000, 50300.000000
Kleinwagen3, 2015.000000, 95.000000
Mittelklassewagen2, 2006.000000, 60000.000000
Kleinwagen4, 1999.000000, 25000.000000
Bus3, 2010.000000, 365000.000000
Lkw2, 2015.000000, 2500.000000
Lkw3, 2015.000000, 2000.000000
Kleinwagen5, 2014.000000, 2015.000000
Kleinwagen6, 2015.000000, 1200.000000
Transporter1, 2006.000000, 16000.000000
Kleinbus2, 2008.000000, 36000.000000
Mittelklassewagen3, 2007.000000, 150000.000000
Mittelklassewagen4, 2015.000000, 3000.000000
Transporter2, 2015.000000, 9000.000000
Lkw4, 2000.000000, 260000.000000
Transporter3, 2015.000000, 300.000000
Kombi2, 2001.000000, 12000.000000
Kombi3, 2002.000000, 15000.000000
Lkw5, 2015.000000, 30000.000000
Lkw6, 1992.000000, 3500000.000000
Kleinbus3, 2015.000000, 1800.000000
Mittelklassewagen5, 2013.000000, 800.000000
Kombi4, 2014.000000, 25000.000000
Transporter4, 2000.000000, 1000.000000
Kombi5, 1996.000000, 45000.000000
Transporter5, 2015.000000, 6000.000000
Bus4, 2016.000000, 50.000000
Kleinbus4, 1998.000000, 300.000000
Bus5, 2009.000000, 98000.000000
Transporter6, 2011.000000, 40000.000000
Kombi6, 2015.000000, 900.000000
Bus6, 2006.000000, 25000.000000
Kleinbus5, 2007.000000, 80000.000000
Kleinbus6, 2015.000000, 1800.000000
Mittelklassewagen6, 2002.000000, 1500600.000000
